Id,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
1,Marina Maximilian,Not Afraid,37.0,0.334,0.536,9.0,-6.649,0,0.0381,0.378,,0.106,0.235,152.429,204947.0,4,9
2,The Black Keys,Howlin' for You,67.0,0.725,0.747,11.0,-5.545,1,0.0876,0.0272,0.0468,0.104,0.38,132.921,191956.0,4,6
3,Royal & the Serpent,phuck u,,0.584,0.804,7.0,-6.094,1,0.0619,0.000968,0.635,0.284,0.635,159.953,161037.0,4,10
4,Detroit Blues Band,Missing You,12.0,0.515,0.308,,-14.711,1,0.0312,0.907,0.0213,0.3,0.501,172.472,298093.0,3,2
5,Coast Contra,My Lady,48.0,0.565,0.777,6.0,-5.096,0,0.249,0.183,,0.211,0.619,88.311,254145.0,4,5
6,Beck,Fuckin With My Head (Mountain Dew Rock),38.0,0.657,0.813,7.0,-7.861,1,0.216,0.00834,0.0492,0.208,0.589,82.035,219587.0,4,10
7,Shadow and Light,Blue,11.0,0.658,0.431,1.0,-12.718,0,0.03,0.615,0.292,0.0902,0.528,132.045,3.893933333,5,0
8,Within The Ruins,Devil In Me,45.0,0.441,0.994,7.0,-2.934,1,0.239,7.25e-05,0.000147,0.382,0.0478,139.931,213125.0,4,8
9,Crazy Cavan,My Little Sister Gotta Motorbike,38.0,0.446,0.816,9.0,-9.762,1,0.0766,0.318,,0.339,0.718,183.696,165293.0,4,10
10,Day Sulan,Bailar,58.0,0.852,0.535,7.0,-5.94,0,0.0896,0.439,8.18e-05,0.246,0.483,103.007,205056.0,4,5
11,Dierks Bentley,What Was I Thinkin',68.0,0.551,0.825,5.0,-6.24,0,0.044,0.152,6.2e-06,0.0999,0.933,164.857,4.347116667,4,4
12,Elderbrook,My House,51.0,0.856,0.605,6.0,-7.691,0,0.048,0.0202,0.833,0.0661,0.6,123.998,181935.0,4,6
13,Alter Bridge,Blackbird,57.0,0.279,0.806,6.0,-4.714,0,0.0448,0.00499,0.0126,0.116,0.132,149.463,478133.0,3,8
14,Thieves Like Us,Drugs in My Body - Designer Drugs Remix,19.0,0.751,0.624,7.0,-3.366,1,0.0519,0.000117,0.0566,0.305,0.71,125.854,279360.0,4,6
15,"Kelsea Ballerini, Kenny Chesney",half of my hometown (feat. Kenny Chesney),70.0,0.571,0.618,10.0,-4.966,1,0.0445,0.147,,0.159,0.288,138.03,3.863866667,4,4
16,DJ Enimoney,Sugar Daddy,47.0,0.91,0.559,1.0,-10.883,1,0.0876,0.0205,0.509,0.103,0.412,114.005,153684.0,4,9
17,Attawalpa,Done Hanging On - Joel Wolf Alice Remix,25.0,0.529,0.726,5.0,-4.603,1,0.0908,0.0426,0.886,0.0649,0.36,130.034,285074.0,4,6
18,Foo Fighters,Run,61.0,0.365,0.892,4.0,-8.036,0,0.0786,3.31e-05,0.0948,0.751,0.176,136.133,323373.0,4,10
19,The Collective Projekt,Dama Dam Mast Kalandar,10.0,0.232,0.895,2.0,-2.834,1,0.0517,0.66,,0.124,0.343,175.443,5.227266667,4,0
20,Mohammed Rafi,All Line Clear,4.0,0.525,0.395,6.0,-9.291,1,0.0771,0.679,0.00125,0.227,0.889,124.537,3.398883333,4,3
21,Die Apokalyptischen Reiter,Ghostriders in the Sky,50.0,0.417,0.958,5.0,-3.604,0,0.122,0.00592,0.000255,0.11,0.176,129.933,211096.0,4,8
22,Volbeat,A Warrior's Call,62.0,0.374,0.903,10.0,-4.49,1,0.0825,0.00075,5.85e-06,0.244,0.429,109.118,263080.0,3,10
23,Danny Weissfeld,חול הים,28.0,0.432,0.586,7.0,-7.618,1,0.0277,0.435,4.86e-06,0.144,0.193,81.924,209746.0,4,9
24,Metric,Combat Baby,51.0,0.649,0.914,9.0,-6.199,1,0.0455,0.00573,0.000165,0.0997,0.739,139.125,209760.0,4,10
25,Tyla Yaweh,Tommy Lee (feat. Post Malone) - Tommy Lee Remix,62.0,0.504,0.597,10.0,-6.237,1,0.1,0.206,,0.0949,0.557,117.974,230489.0,4,10
26,Underoath,A Boy Brushed Red Living In Black And White,62.0,0.419,0.932,1.0,-3.604,0,0.106,0.00171,,0.137,0.445,169.881,268000.0,4,8
27,Adi-Keshet Cohen,Requiem,14.0,0.488,0.585,1.0,-8.935,1,0.0365,0.499,0.0221,0.111,0.204,135.429,195923.0,4,6
28,Human Impact,Genetic,21.0,0.176,0.907,5.0,-6.901,0,0.142,0.0016,0.027,0.103,0.182,101.795,280960.0,5,8
29,a crowd of rebellion,Meteor,36.0,0.474,0.943,7.0,-1.973,0,0.0577,3.6e-05,0.000114,0.364,0.423,103.441,202567.0,4,10
30,Planet of Zeus,Leftovers,38.0,0.452,0.915,11.0,-3.836,1,0.0355,9.51e-06,0.000188,0.0709,0.522,104.995,230653.0,3,8
31,Arlo Guthrie,Coming into Los Angeles (Taking Woodstock - Original Motion Picture Soundtrack) - Live,34.0,0.62,0.848,,-7.201,1,0.0391,0.354,0.00103,0.698,0.732,133.557,132880.0,4,10
32,Give a Little Love (feat. Sufjan Stevens),"Mina Tindle, Sufjan Stevens",36.0,0.563,0.265,3.0,-10.563,1,0.0321,0.972,0.0164,0.12,0.26,132.207,3.630283333,4,0
33,Derek & The Dominos,Layla - 40th Anniversary Version / 2010 Remastered,1.0,0.403,0.903,1.0,-3.88,1,0.0664,0.574,0.305,0.287,0.498,115.669,423840.0,4,10
34,Our Lady Peace,Superman's Dead,55.0,0.247,0.869,1.0,-8.382,1,0.0542,0.0104,8.59e-06,0.0954,0.601,175.26,255327.0,4,10
35,Reeshabh Purohit,Soona Soona,,0.467,0.193,1.0,-18.895,1,0.0315,0.731,0.107,0.105,0.108,100.006,5.4,4,0
36,Johnny Cosmic,Kingdom (with The Movement),47.0,0.742,0.503,5.0,-8.396,0,0.0621,0.0604,0.066,0.12,0.444,74.004,282323.0,4,10
37,Sonna,Something's Gotta Give,31.0,0.666,0.463,1.0,-7.806,0,0.086,0.413,,0.232,0.497,84.903,140965.0,4,5
38,Urban Dance Squad,Demagogue,37.0,0.643,0.98,2.0,-6.171,1,0.0623,0.0118,5.71e-05,0.642,0.686,94.819,246627.0,4,10
39,Betcha,July,55.0,0.607,0.658,6.0,-5.552,0,0.0262,0.0103,0.0224,0.0537,0.567,99.983,207587.0,4,1
40,ED.,Sonic Boom,32.0,0.899,0.726,10.0,-9.273,1,0.172,0.000726,0.02,0.109,0.708,115.009,219136.0,4,6
41,Corey Harper,On the Run,,0.411,0.512,9.0,-7.491,1,0.027,0.387,,0.0676,0.0544,83.399,3.44396667,4,0
42,James Taylor,Mexico,3.0,0.774,0.497,11.0,-13.448,1,0.0293,0.279,7.14e-06,0.119,0.768,115.994,177400.0,4,10
43,"Bickram Ghosh, Kala Ramnath",Rasiya,21.0,0.732,0.55,2.0,-8.711,0,0.0397,0.809,0.091,0.0914,0.235,132.974,6.133783333,1,0
44,Greta Van Fleet,Rolling In The Deep - Recorded At Spotify Studios NYC,60.0,0.614,0.474,11.0,-10.133,0,0.0264,0.00563,0.00285,0.1,0.388,104.987,237653.0,4,10
45,Thornhill,Reptile,39.0,0.467,0.985,11.0,-2.347,0,0.211,6.36e-05,0.0101,0.378,0.258,125.06,224160.0,4,8
46,J.I the Prince of N.Y,R&B Shit (feat. A Boogie Wit da Hoodie),65.0,0.542,0.458,6.0,-10.885,0,0.386,0.493,,0.0875,0.496,99.218,212695.0,4,5
47,Cody Jinks,What Else Is New,44.0,0.512,0.601,8.0,-6.84,1,0.0267,0.00187,,0.0535,0.821,96.046,170861.0,1,10
